timestamp,pos_type,split,length,b,seed,iter,val_loss,val_acc
2026-07-18T16:52:08,t5,half,10,1,1343,1000,0.000152,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1100,0.000098,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1200,0.000064,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1300,0.000043,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1400,0.000029,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1500,0.000021,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1600,0.000015,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1700,0.000011,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1800,0.000008,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,1900,0.000006,1.000000
2026-07-18T16:52:08,t5,half,10,1,1343,2000,0.000004,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,0,2.143194,0.000000
2026-07-18T16:52:33,t5,half,10,1,1344,100,0.539955,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,200,0.019944,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,300,0.006780,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,400,0.003167,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,500,0.001673,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,600,0.000942,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,700,0.000552,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,800,0.000333,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,900,0.000206,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1000,0.000130,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1100,0.000083,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1200,0.000055,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1300,0.000037,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1400,0.000025,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1500,0.000017,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1600,0.000013,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1700,0.000009,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1800,0.000007,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,1900,0.000005,1.000000
2026-07-18T16:52:33,t5,half,10,1,1344,2000,0.000004,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,0,2.000896,0.000000
2026-07-18T16:52:58,t5,half,10,1,1345,100,0.696107,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,200,0.021744,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,300,0.006897,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,400,0.003202,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,500,0.001690,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,600,0.000955,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,700,0.701525,0.500000
2026-07-18T16:52:58,t5,half,10,1,1345,800,0.726825,0.500000
2026-07-18T16:52:58,t5,half,10,1,1345,900,0.748704,0.872000
2026-07-18T16:52:58,t5,half,10,1,1345,1000,0.001061,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1100,0.000858,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1200,0.000696,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1300,0.000553,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1400,0.000430,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1500,0.000330,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1600,0.000252,1.000000
2026-07-18T16:52:58,t5,half,10,1,1345,1700,0.000194,1.000000
